NIP,Nama Lengkap,Email,No HP,Jenjang Jabatan,Golongan,Unit Kerja,Pendidikan Terakhir,Tahun Lulus,TMT Jabatan,Status Kepegawaian,Tempat Lahir,Tanggal Lahir,Jenis Kelamin,Alamat
198501012010011001,"Ahmad Sudrajat, S.Kom",ahmad.sudrajat@uii.ac.id,081234567890,Pranata TI Pertama,III/b,Direktorat TI,S1 Teknik Informatika,2010,2020-01-15,PNS,Yogyakarta,1985-01-01,L,"Jl. Kaliurang Km 14, Sleman"
198601022011012002,"Siti Aminah, S.T., M.T.",siti.aminah@uii.ac.id,081234567891,Pranata TI Muda,III/d,Pusat Data,S2 Sistem Informasi,2015,2018-06-01,PNS,Sleman,1986-02-02,P,"Jl. Seturan Raya No. 45, Sleman"
198702033012011003,"Budi Santoso, S.Kom",budi.santoso@uii.ac.id,081234567892,Pranata TI Pertama,III/c,Bagian Sistem Informasi,S1 Informatika,2012,2019-08-01,PNS,Bantul,1987-03-15,L,"Jl. Imogiri Timur Km 5, Bantul"
198803044013012004,"Dewi Lestari, A.Md.Kom",dewi.lestari@uii.ac.id,081234567893,Pelaksana Lanjutan,III/a,Unit Jaringan,D3 Manajemen Informatika,2013,2021-01-10,PNS,Kulon Progo,1988-04-20,P,"Jl. Wates Km 10, Kulon Progo"
198904055014012005,"Eko Prasetyo, S.T., M.Eng",eko.prasetyo@uii.ac.id,081234567894,Pranata TI Madya,IV/a,Direktorat TI,S2 Teknik Komputer,2014,2015-03-01,PNS,Gunungkidul,1989-05-10,L,"Jl. Baron No. 12, Gunungkidul"
199005066015012006,"Fitri Handayani, S.Kom",fitri.handayani@uii.ac.id,081234567895,Pranata TI Pertama,III/a,Bagian Aplikasi,S1 Teknik Informatika,2015,2022-07-15,PPPK,Sleman,1990-06-25,P,"Jl. Affandi No. 88, Sleman"
199106077016012007,"Gunawan Saputra, S.T.",gunawan.saputra@uii.ac.id,081234567896,Pranata TI Muda,IV/a,Pusat Data,S1 Teknik Elektro,2016,2017-09-01,PNS,Yogyakarta,1991-07-12,L,"Jl. Kaliurang Km 5, Yogyakarta"
199207088017012008,"Hilda Kusuma, S.Kom., M.Kom",hilda.kusuma@uii.ac.id,081234567897,Pranata TI Madya,IV/b,Direktorat TI,S2 Ilmu Komputer,2017,2016-01-15,PNS,Bantul,1992-08-30,P,"Jl. Parangtritis Km 8, Bantul"
199308099018012009,"Irfan Hakim, A.Md.T",irfan.hakim@uii.ac.id,081234567898,Pelaksana,II/c,Unit Helpdesk,D3 Teknik Komputer,2018,2023-02-01,PPPK,Sleman,1993-09-18,L,"Jl. Solo Km 10, Sleman"
199409100019012010,"Jasmine Putri, S.Si., M.Sc",jasmine.putri@uii.ac.id,081234567899,Pranata TI Muda,III/d,Bagian Riset TI,S2 Computer Science,2019,2020-06-01,PNS,Yogyakarta,1994-10-05,P,"Jl. Janti No. 20, Yogyakarta"
